nVectors,memcpyOut,plan,execu,memcpyIn
10000001,20.585,0.004,7.791,18.493
10000001,15.703,0.004,20.109,15.058
10000001,15.645,0.005,28.681,14.462
10000001,15.845,0.006,7.892,28.52
10000001,24.068,0.005,7.647,27.198
10000001,15.761,0.004,9.318,14.438
10000001,15.911,0.007,6.909,14.327
10000001,16.014,0.004,7.129,15.614
10000001,15.815,0.006,8.233,14.288
10000001,15.842,0.006,7.873,28.689
10000001,16.007,0.004,6.972,14.252
10000001,24.25,0.003,7.376,26.422
10000001,15.258,0.004,7.995,14.382
10000001,15.529,0.004,6.365,14.341
10000001,15.231,0.005,8.482,14.307
10000001,15.271,0.004,10.718,14.516
10000001,15.384,0.006,8.557,14.252
10000001,15.043,0.005,35.346,14.537
10000001,24.738,0.001,7.345,26.778
10000001,15.078,0.004,37.898,14.87
10000001,15.196,0.004,9.777,14.586
10000001,15.161,0.007,9.062,14.231
10000001,15.191,0.016,8.844,14.254
10000001,15.333,0.005,11.968,14.551
10000001,15.236,0.004,8.652,14.15
10500001,21.262,0.004,8.273,19.229
10500001,16.8,0.005,6.261,15.113
10500001,16.69,0.004,28.479,15.027
10500001,26.053,0.004,7.641,28.507
10500001,25.12,0.004,38.494,28.27
10500001,16.692,0.004,10.306,15.191
10500001,16.928,0.006,7.845,14.925
10500001,16.835,0.004,7.338,16.332
10500001,16.713,0.007,9.042,15.027
10500001,26.218,0.003,10.105,16.027
10500001,17.003,0.005,7.536,14.904
10500001,25.271,0.003,7.698,27.779
10500001,16.041,0.004,7.601,14.995
10500001,16.074,0.005,7.471,14.909
10500001,15.935,0.006,12.907,15.169
10500001,15.814,0.005,8.797,14.874
10500001,15.999,0.006,9.047,15.072
10500001,15.67,0.004,39.407,15.2
10500001,26.149,0.003,7.333,27.977
10500001,15.808,0.004,38.389,14.95
10500001,15.946,0.007,12.503,15.151
10500001,15.868,0.007,8.920,15.002
10500001,16.159,0.004,32.281,15.132
10500001,15.805,0.005,21.041,15.686
10500001,15.909,0.003,10.933,15.069
11000001,24.602,0.004,17.010,19.243
11000001,17.723,0.004,8.131,15.807
11000001,17.256,0.005,34.406,15.703
11000001,26.642,0.003,22.290,29.461
11000001,26.835,0.003,37.545,29.288
11000001,17.333,0.004,29.933,16.126
11000001,17.572,0.004,7.661,15.612
11000001,17.566,0.004,14.694,15.911
11000001,17.356,0.006,10.841,15.857
11000001,17.557,0.004,7.807,15.956
11000001,17.717,0.004,7.823,15.642
11000001,26.532,0.003,8.233,29.619
11000001,16.866,0.005,8.730,15.717
11000001,16.835,0.005,7.834,15.536
11000001,16.572,0.004,23.254,16.1
11000001,16.626,0.006,8.223,15.726
11000001,16.74,0.004,6.844,15.833
11000001,16.384,0.004,41.373,15.991
11000001,27.248,0.002,23.802,29.482
11000001,16.416,0.004,41.602,15.802
11000001,16.498,0.004,7.942,15.798
11000001,16.596,0.007,9.011,15.672
11000001,16.407,0.004,7.015,15.578
11000001,16.641,0.004,19.255,15.785
11000001,16.464,0.004,8.302,15.754
11500001,27.773,0.005,8.888,20.068
11500001,18.49,0.004,11.345,17.088
11500001,17.929,0.004,43.804,16.812
11500001,27.777,0.005,24.915,31.103
11500001,27.617,0.004,6.831,16.609
11500001,18.101,0.004,9.337,16.776
11500001,18.338,0.006,32.696,17.353
11500001,17.944,0.004,12.628,16.788
11500001,17.995,0.006,12.698,16.921
11500001,18.557,0.005,22.814,16.999
11500001,18.323,0.005,8.445,22.881
11500001,28.155,0.003,8.149,30.696
11500001,17.193,0.004,10.906,16.701
11500001,17.446,0.005,8.198,16.496
11500001,17.372,0.005,21.664,16.872
11500001,17.407,0.006,7.622,16.581
11500001,17.403,0.004,12.219,16.862
11500001,17.058,0.004,41.535,16.863
11500001,28.877,0.005,26.054,30.744
11500001,17.185,0.004,41.286,16.826
11500001,17.355,0.005,7.537,16.68
11500001,17.407,0.006,7.881,16.541
11500001,17.235,0.004,7.901,16.803
11500001,17.339,0.004,16.577,16.91
11500001,17.302,0.005,7.414,16.518
12000001,28.372,0.004,9.899,20.82
