device/C,kernel/C,workDimension/C,length/F,xLocal/I,yLocal/I,zLocal/I,MB/F,init/F,memoryCopyOut/F,plan/F,execute/F,memoryCopyIn/F,cleanUp/F
Tesla K20Xm,Reduction,ONE_D,8.12646e+06,32,1,1,124,651.108,134.083,0.002,2.019,2.958,0.643
Tesla K20Xm,Reduction,ONE_D,8.12646e+06,64,1,1,124,649.342,134.434,0.002,1.681,2.038,0.62
Tesla K20Xm,Reduction,ONE_D,8.12646e+06,128,1,1,124,648.905,135.398,0.002,1.463,1.524,0.584
Tesla K20Xm,Reduction,ONE_D,8.12646e+06,256,1,1,124,648.655,134.086,0.002,1.528,1.331,0.584
Tesla K20Xm,Reduction,ONE_D,8.12646e+06,512,1,1,124,649.088,134.088,0.002,1.777,1.313,0.585
Tesla K20Xm,Reduction,ONE_D,8.12646e+06,1024,1,1,124,650.307,134.418,0.002,2.085,1.252,0.587
Tesla K20Xm,Reduction,ONE_D,8.12646e+06,1,1,1,124,673.024,134.215,0.002,20.182,74.835,0.952
Tesla K20Xm,Reduction,ONE_D,8.12646e+06,2,1,1,124,661.217,134.189,0.002,12.595,38.062,0.678
Tesla K20Xm,Reduction,ONE_D,8.12646e+06,4,1,1,124,655.46,134.488,0.002,7.729,18.958,0.645
Tesla K20Xm,Reduction,ONE_D,8.12646e+06,8,1,1,124,652.342,134.521,0.002,4.878,9.859,0.663
Tesla K20Xm,Reduction,ONE_D,8.12646e+06,16,1,1,124,650.953,134.062,0.003,3.039,5.196,0.622
Tesla K20Xm,Reduction,ONE_D,8.12646e+06,32,1,1,124,649.835,134,0.002,2.043,3.025,0.647
Tesla K20Xm,Reduction,ONE_D,8.12646e+06,64,1,1,124,650.013,134.075,0.002,1.615,1.749,0.626
Tesla K20Xm,Reduction,ONE_D,8.12646e+06,128,1,1,124,648.837,134.232,0.002,1.463,1.481,0.67
Tesla K20Xm,Reduction,ONE_D,8.12646e+06,256,1,1,124,648.368,134.391,0.002,1.617,1.432,0.585
Tesla K20Xm,Reduction,ONE_D,8.12646e+06,512,1,1,124,649.433,134.12,0.002,1.724,1.233,0.576
Tesla K20Xm,Reduction,ONE_D,8.12646e+06,1024,1,1,124,648.771,134.494,0.002,2.068,1.228,0.568
Tesla K20Xm,Reduction,ONE_D,8.12646e+06,1,1,1,124,673.914,134.183,0.002,20.217,75.277,0.942
Tesla K20Xm,Reduction,ONE_D,8.12646e+06,2,1,1,124,659.248,134.326,0.002,12.606,38.178,0.678
Tesla K20Xm,Reduction,ONE_D,8.12646e+06,4,1,1,124,657.071,134.173,0.002,7.723,19.025,0.656
Tesla K20Xm,Reduction,ONE_D,8.12646e+06,8,1,1,124,652.434,134.244,0.001,4.743,9.868,0.632
Tesla K20Xm,Reduction,ONE_D,8.12646e+06,16,1,1,124,650.461,134.079,0.002,3.052,5.331,0.638
Tesla K20Xm,Reduction,ONE_D,8.12646e+06,32,1,1,124,650.482,134.013,0.003,2.058,2.96,0.624
Tesla K20Xm,Reduction,ONE_D,8.12646e+06,64,1,1,124,649.149,134.113,0.002,1.624,1.735,0.687
Tesla K20Xm,Reduction,ONE_D,8.12646e+06,128,1,1,124,649.68,134.556,0.002,1.507,1.621,0.588
Tesla K20Xm,Reduction,ONE_D,8.12646e+06,256,1,1,124,648.364,134.273,0.002,1.533,1.299,0.59
Tesla K20Xm,Reduction,ONE_D,8.12646e+06,512,1,1,124,648.594,134.386,0.002,1.726,1.291,0.599
Tesla K20Xm,Reduction,ONE_D,8.12646e+06,1024,1,1,124,649.565,134.016,0.002,2.069,1.277,0.589
Tesla K20Xm,Reduction,ONE_D,8.12646e+06,1,1,1,124,672.989,134.03,0.002,20.238,75.307,0.933
Tesla K20Xm,Reduction,ONE_D,8.12646e+06,2,1,1,124,660.223,134.063,0.003,12.519,37.976,0.68
