device/C,kernel/C,workDimension/C,width/F,height/F,nSteps/F,xLocal/I,yLocal/I,zLocal/I,memoryCopyOut/F,plan/F,execute/F,memoryCopyIn/F,cleanUp/F
Hawaii,FluidSimulation,TWO_D,2048,2048,5,4,64,1,98.341,0.005,1461.02,0.001,16.437
Hawaii,FluidSimulation,TWO_D,2048,2048,5,8,1,1,102.149,0.005,1389.23,0.001,16.546
Hawaii,FluidSimulation,TWO_D,2048,2048,5,8,2,1,99.562,0.002,1401.4,0.002,16.411
Hawaii,FluidSimulation,TWO_D,2048,2048,5,8,4,1,100.384,0.003,1410.18,0.002,16.414
Hawaii,FluidSimulation,TWO_D,2048,2048,5,8,8,1,101.005,0.002,1411.81,0.001,16.373
Hawaii,FluidSimulation,TWO_D,2048,2048,5,8,16,1,98.334,0.002,1409.14,0.001,16.415
Hawaii,FluidSimulation,TWO_D,2048,2048,5,8,32,1,103.305,0.002,1389.43,0.002,16.462
Hawaii,FluidSimulation,TWO_D,2048,2048,5,16,1,1,102.184,0.002,1407.86,0.002,16.375
Hawaii,FluidSimulation,TWO_D,2048,2048,5,16,2,1,99.159,0.005,1402.79,0.002,16.421
Hawaii,FluidSimulation,TWO_D,2048,2048,5,16,4,1,103.684,0.002,1412.02,0.002,16.525
Hawaii,FluidSimulation,TWO_D,2048,2048,5,16,8,1,99.045,0.003,1403.67,0.001,16.428
Hawaii,FluidSimulation,TWO_D,2048,2048,5,16,16,1,100.063,0.005,1407.9,0.001,16.84
Hawaii,FluidSimulation,TWO_D,2048,2048,5,32,1,1,100.786,0.003,1400.52,0.002,16.89
Hawaii,FluidSimulation,TWO_D,2048,2048,5,32,2,1,99.185,0.004,1402.26,0.001,16.617
Hawaii,FluidSimulation,TWO_D,2048,2048,5,32,4,1,99.986,0.002,1407.85,0.001,16.644
Hawaii,FluidSimulation,TWO_D,2048,2048,5,32,8,1,102.314,0.002,1401.94,0.001,16.632
Hawaii,FluidSimulation,TWO_D,2048,2048,5,64,1,1,101.163,0.003,1417.12,0.001,16.688
Hawaii,FluidSimulation,TWO_D,2048,2048,5,64,2,1,101.297,0.004,1399.66,0.001,16.505
Hawaii,FluidSimulation,TWO_D,2048,2048,5,64,4,1,100.99,0.002,1391.95,0.001,16.504
Hawaii,FluidSimulation,TWO_D,2048,2048,5,128,1,1,98.791,0.004,1400.62,0.001,16.529
Hawaii,FluidSimulation,TWO_D,2048,2048,5,128,2,1,99.107,0.005,1408.02,0.002,16.565
Hawaii,FluidSimulation,TWO_D,2048,2048,5,256,1,1,104.302,0.003,1397.87,0.002,16.519
Hawaii,FluidSimulation,TWO_D,2048,2048,5,1,1,1,107.881,0.005,1625.25,0.001,27.003
Hawaii,FluidSimulation,TWO_D,2048,2048,5,1,2,1,103.977,0.007,1923.21,0.001,16.723
Hawaii,FluidSimulation,TWO_D,2048,2048,5,1,4,1,98.191,0.003,1421.42,0.001,16.472
Hawaii,FluidSimulation,TWO_D,2048,2048,5,1,8,1,101.05,0.002,1396.24,0.001,16.419
Hawaii,FluidSimulation,TWO_D,2048,2048,5,1,16,1,98.207,0.005,1458.13,0.001,16.642
Hawaii,FluidSimulation,TWO_D,2048,2048,5,1,32,1,100.146,0.004,1610.29,0.002,16.649
Hawaii,FluidSimulation,TWO_D,2048,2048,5,1,64,1,100.318,0.004,1778.88,0.001,16.381
Hawaii,FluidSimulation,TWO_D,2048,2048,5,1,128,1,104.241,0.004,1959.02,0.001,16.297
Hawaii,FluidSimulation,TWO_D,2048,2048,5,1,256,1,101.081,0.002,2641.05,0.002,16.385
Hawaii,FluidSimulation,TWO_D,2048,2048,5,2,1,1,101.544,0.002,1515.63,0.002,16.364
Hawaii,FluidSimulation,TWO_D,2048,2048,5,2,2,1,96.955,0.003,1404.01,0.001,16.336
Hawaii,FluidSimulation,TWO_D,2048,2048,5,2,4,1,99.454,0.003,1407.35,0.001,16.322
Hawaii,FluidSimulation,TWO_D,2048,2048,5,2,8,1,101.723,0.002,1425.71,0.001,16.35
Hawaii,FluidSimulation,TWO_D,2048,2048,5,2,16,1,97.863,0.004,1435.83,0.001,16.367
Hawaii,FluidSimulation,TWO_D,2048,2048,5,2,32,1,98.184,0.005,1439.52,0.002,16.36
Hawaii,FluidSimulation,TWO_D,2048,2048,5,2,64,1,102.645,0.003,1571.89,0.001,16.379
Hawaii,FluidSimulation,TWO_D,2048,2048,5,2,128,1,98.083,0.003,1730.05,0.002,16.321
Hawaii,FluidSimulation,TWO_D,2048,2048,5,4,1,1,103.085,0.002,1389.45,0.001,16.432
Hawaii,FluidSimulation,TWO_D,2048,2048,5,4,2,1,102.717,0.002,1386.43,0.001,16.343
Hawaii,FluidSimulation,TWO_D,2048,2048,5,4,4,1,102.646,0.002,1418.8,0.001,16.465
Hawaii,FluidSimulation,TWO_D,2048,2048,5,4,8,1,102.437,0.002,1413.57,0.001,16.373
Hawaii,FluidSimulation,TWO_D,2048,2048,5,4,16,1,100.906,0.004,1387.53,0.001,16.387
