nVectors,memcpyOut,plan,execu,memcpyIn
7400000,71.898,182.159,1038.233,71.603,
7600000,71.145,193.387,614.202,73.047,
7800000,73.888,195.901,643.326,77.152,
8000000,78.213,0.548,552.220,78.736,
8200000,78.859,197.592,1172.968,79.677,
8400000,78.583,201.703,690.625,78.927,
8600000,83.592,210.119,855.218,90.149,
8800000,84.175,223.436,766.535,84.981,
9000000,85.568,0.451,620.212,85.502,
9200000,88.345,241.572,791.652,89.209,
9400000,93.312,228.149,969.316,91.152,
9600000,92.935,231.889,793.940,92.765,
9800000,95.071,238.482,833.652,94.903,
10000000,99.344,248.138,834.092,97.089,
2,0.003,0.017,0.000,0.000,
200000,1.797,3.922,7.791,1.650,
400000,3.639,7.776,16.561,3.689,
600000,5.579,12.085,27.064,5.835,
800000,7.436,15.866,37.058,3.347,
1000000,5.208,0.263,58.664,4.201,
1200000,5.452,24.550,56.656,5.166,
1400000,6.349,28.598,69.941,6.017,
1600000,15.266,32.796,79.075,6.890,
1800000,16.881,37.247,97.221,17.445,
2000000,20.546,0.359,128.717,19.258,
2200000,20.240,44.820,117.830,20.952,
2400000,22.480,48.870,122.131,22.958,
2600000,24.448,53.447,141.338,27.717,
2800000,27.165,59.055,157.056,26.693,
3000000,28.195,60.941,169.342,28.995,
3200000,30.109,64.912,186.514,30.460,
3400000,31.801,70.406,228.643,33.045,
3600000,37.199,73.093,232.031,34.816,
3800000,35.568,77.219,269.898,39.322,
4000000,38.086,0.354,253.990,38.480,
4200000,39.012,96.101,281.038,39.934,
4400000,48.052,102.560,298.478,46.510,
4600000,42.894,105.100,341.516,46.063,
4800000,47.415,109.856,322.583,45.916,
5000000,46.391,114.122,359.582,48.574,
5200000,52.994,130.914,373.620,49.573,
5400000,50.931,134.514,415.923,52.809,
5600000,52.716,137.341,420.104,53.518,
5800000,54.807,143.822,487.486,57.598,
6000000,56.221,147.289,451.454,57.790,
6200000,58.665,153.898,536.921,60.640,
6400000,60.124,157.327,507.282,61.369,
6600000,61.765,161.781,547.188,64.484,
6800000,67.310,178.507,549.371,65.581,
7000000,66.130,171.907,556.255,66.466,
7200000,68.127,176.801,592.802,72.390,
